Id,Количество отправленных сообщений за период,Количество получаемых сообщений за период,Соотношение Полученных/Отправленных,Количество адресатов в отправляемых сообщениях,Количество сообщений с адресатами в поле «скрытая копия»,Количество сообщений с адресатами в поле «копия»,"Количество сообщений, прочитанных позднее времени получения",Среднее время ответа на сообщение.,"Количество сообщений, на которые произведен ответ",Количество дней между датой получения и датой прочтения сообщения,Количество символов текста в исходящих сообщениях,"Количество сообщений, отправленных вне рамок рабочего дня","Количество сообщений, отправленных без подписи",res
27,12.0,38.0,3.1666666666666665,5,0,0,3,1,8.0,1,307,2.0,3.0,False
28,52.0,59.0,1.1346153846153846,9,0,2,1,2,32.0,1,226,3.0,0.0,False
29,20.0,102.0,5.1,7,0,1,3,6,12.0,2,272,7.0,10.0,False
30,32.0,122.0,3.8125,5,0,0,3,5,19.0,1,287,9.0,10.0,False
31,30.0,47.0,1.5666666666666669,12,4,1,7,4,18.0,2,367,5.0,8.0,False
32,18.0,139.0,7.722222222222222,5,0,0,6,4,12.0,1,181,32.0,32.0,False
33,5.0,16.0,3.2,5,0,0,4,1,3.0,0,385,2.0,0.0,False
34,6.0,28.0,4.666666666666667,2,0,0,0,2,1.0,1,101,0.0,19.0,True
37,5.0,68.0,13.6,7,0,0,3,5,3.0,1,176,8.0,7.0,False
38,10.0,31.0,3.1,14,0,1,9,3,6.0,2,382,6.0,6.0,False
39,19.0,10.0,0.5263157894736842,4,0,2,5,5,6.0,1,142,1.0,1.0,False
42,21.0,111.0,5.285714285714286,8,0,0,6,4,13.0,2,169,14.0,16.0,False
44,14.0,15.0,1.0714285714285714,5,0,0,3,1,9.0,1,372,1.0,0.0,False
45,30.0,73.0,2.433333333333333,6,0,1,4,7,18.0,1,212,6.0,6.0,False
46,19.0,63.0,3.3157894736842106,3,0,0,8,8,4.0,1,111,0.0,32.0,True
47,47.0,53.0,1.127659574468085,10,0,2,1,4,36.0,0,284,7.0,0.0,False
48,25.0,98.0,3.92,14,0,4,9,3,13.0,1,369,25.0,16.0,False
49,15.0,12.0,0.8,7,0,2,8,3,7.0,2,220,1.0,2.0,False
50,16.0,93.0,5.8125,7,0,0,7,2,11.0,1,221,2.0,21.0,False
51,36.0,145.0,4.027777777777778,6,0,0,2,2,24.0,1,234,11.0,2.0,False
52,28.0,82.0,2.9285714285714284,8,0,2,2,3,23.0,0,347,14.0,3.0,False
53,21.0,26.0,1.238095238095238,9,0,0,6,3,14.0,0,319,0.0,4.0,False
54,10.0,81.0,8.1,6,0,0,9,3,6.0,0,323,4.0,12.0,False
56,13.0,77.0,5.923076923076923,9,0,2,2,1,7.0,0,200,8.0,1.0,False
57,5.0,29.0,5.8,9,0,2,5,1,3.0,0,302,1.0,4.0,False
58,40.0,49.0,1.225,2,1,1,8,12,5.0,1,125,0.0,25.0,True
59,24.0,27.0,1.125,11,0,0,0,0,19.0,0,402,5.0,1.0,False
60,34.0,143.0,4.205882352941177,5,2,0,2,2,21.0,1,279,9.0,1.0,False
61,5.0,28.0,5.6,4,1,0,0,2,1.0,1,82,0.0,19.0,True
62,28.0,20.0,0.7142857142857143,3,1,0,2,7,10.0,1,117,2.0,2.0,False
63,16.0,51.0,3.1875,8,0,0,0,0,12.0,0,454,8.0,5.0,False
65,14.0,0.0,0.0,2,1,1,10,7,0.0,1,161,0.0,0.0,True
66,24.0,73.0,3.0416666666666665,14,0,0,8,4,12.0,0,268,14.0,16.0,False
67,6.0,49.0,8.166666666666666,4,0,0,0,2,1.0,0,194,0.0,25.0,True
70,5.0,92.0,18.4,6,0,1,5,4,3.0,0,148,6.0,8.0,False
72,21.0,71.0,3.380952380952381,13,0,0,1,6,18.0,0,342,12.0,6.0,False
73,26.0,47.0,1.807692307692308,2,0,1,4,7,18.0,0,177,4.0,4.0,False
74,29.0,30.0,1.0344827586206895,3,0,1,3,2,20.0,1,323,4.0,0.0,False
76,33.0,147.0,4.454545454545454,3,0,0,4,1,23.0,2,251,10.0,3.0,False
78,37.0,127.0,3.4324324324324325,13,0,1,8,5,22.0,1,317,20.0,23.0,False
79,19.0,13.0,0.6842105263157895,11,0,0,0,0,9.0,0,477,2.0,0.0,False
80,3.0,62.0,20.666666666666668,5,0,2,1,4,2.0,0,156,5.0,6.0,False
81,11.0,98.0,8.909090909090908,6,0,0,7,3,7.0,2,330,0.0,18.0,False
82,46.0,44.0,0.9565217391304348,7,0,0,4,3,25.0,1,389,4.0,3.0,False
83,35.0,86.0,2.4571428571428573,13,0,6,5,9,24.0,1,164,16.0,19.0,False
84,23.0,109.0,4.739130434782608,7,0,2,0,0,17.0,0,491,19.0,6.0,False
85,13.0,13.0,1.0,4,0,1,10,4,4.0,0,100,0.0,8.0,True
86,6.0,88.0,14.666666666666666,2,0,0,3,4,3.0,0,168,5.0,8.0,False
87,6.0,69.0,11.5,4,0,1,5,5,3.0,0,195,5.0,6.0,False
88,4.0,4.0,1.0,3,0,0,0,2,2.0,1,161,0.0,3.0,True
89,16.0,1.0,0.0625,4,0,2,8,9,0.0,0,189,0.0,1.0,True
90,25.0,60.0,2.4,4,0,2,1,3,17.0,0,225,8.0,0.0,False
91,6.0,57.0,9.5,3,0,1,0,2,1.0,0,71,0.0,33.0,True
92,53.0,39.0,0.7358490566037735,9,0,0,10,7,25.0,0,203,0.0,9.0,False
93,46.0,51.0,1.108695652173913,5,0,2,4,2,23.0,1,346,7.0,6.0,False
94,11.0,114.0,10.363636363636363,4,0,0,2,5,8.0,2,232,10.0,9.0,False
95,52.0,112.0,2.1538461538461537,9,0,0,6,7,30.0,0,344,10.0,25.0,False
96,34.0,17.0,0.5,6,0,0,7,5,10.0,1,363,2.0,4.0,False
97,42.0,58.0,1.380952380952381,8,2,0,1,3,22.0,0,317,5.0,1.0,False
99,8.0,11.0,1.375,4,0,0,8,1,0.0,1,171,0.0,6.0,True
100,5.0,21.0,4.2,3,0,1,0,2,1.0,1,67,0.0,11.0,True
102,27.0,33.0,1.2222222222222223,2,0,0,4,7,15.0,1,215,2.0,3.0,False
103,21.0,31.0,1.4761904761904765,5,0,2,7,5,11.0,0,384,2.0,8.0,False
106,9.0,3.0,0.3333333333333333,2,0,1,7,6,0.0,0,70,0.0,2.0,True
107,15.0,108.0,7.2,11,0,1,7,3,9.0,0,211,7.0,15.0,False
108,11.0,52.0,4.727272727272728,6,0,0,1,2,6.0,0,300,8.0,2.0,False
109,23.0,50.0,2.1739130434782608,2,0,1,2,7,12.0,2,124,5.0,5.0,False
110,5.0,19.0,3.8,4,0,0,0,2,0.0,0,98,0.0,13.0,True
112,14.0,62.0,4.428571428571429,2,0,1,3,5,7.0,0,147,7.0,5.0,False
113,30.0,84.0,2.8,8,0,0,8,4,17.0,0,376,12.0,9.0,False
115,12.0,141.0,11.75,9,0,0,2,2,8.0,1,399,20.0,5.0,False
116,15.0,131.0,8.733333333333333,3,0,0,4,5,10.0,1,166,13.0,11.0,False
117,27.0,129.0,4.777777777777778,9,0,2,2,3,18.0,1,228,15.0,16.0,False
120,4.0,57.0,14.25,1,0,0,2,1,3.0,0,169,7.0,5.0,False
121,7.0,78.0,11.142857142857142,3,0,0,4,3,4.0,2,160,9.0,8.0,False
122,12.0,72.0,6.0,13,0,0,2,2,10.0,0,443,10.0,7.0,False
126,36.0,119.0,3.305555555555556,9,0,0,7,6,19.0,0,324,25.0,29.0,False
127,56.0,39.0,0.6964285714285714,16,0,0,3,4,35.0,0,436,4.0,0.0,False
128,31.0,100.0,3.225806451612903,6,0,0,3,5,19.0,0,297,6.0,9.0,False
129,41.0,42.0,1.024390243902439,2,0,1,2,3,23.0,0,295,3.0,4.0,False
130,12.0,28.0,2.333333333333333,13,0,0,9,3,7.0,0,336,2.0,6.0,False
135,4.0,42.0,10.5,1,0,1,0,1,2.0,2,88,0.0,22.0,True
136,15.0,42.0,2.8,6,0,0,2,2,9.0,2,267,4.0,4.0,False
137,41.0,92.0,2.2439024390243905,7,0,2,6,8,25.0,0,169,0.0,14.0,False
143,29.0,79.0,2.7241379310344827,8,0,1,9,4,18.0,0,304,0.0,15.0,False
145,10.0,78.0,7.8,4,0,0,5,4,5.0,0,221,4.0,7.0,False
148,53.0,5.0,0.0943396226415094,18,0,0,2,8,4.0,0,390,1.0,0.0,False
149,33.0,61.0,1.8484848484848484,14,0,0,1,5,25.0,0,442,11.0,4.0,False
150,11.0,42.0,3.8181818181818175,3,0,0,9,6,2.0,0,139,0.0,27.0,True
151,16.0,65.0,4.0625,12,0,0,7,3,11.0,1,348,8.0,15.0,False
152,3.0,66.0,22.0,4,0,0,1,4,2.0,1,299,7.0,7.0,False
153,31.0,46.0,1.4838709677419355,6,0,0,1,5,22.0,0,414,8.0,1.0,False
156,7.0,88.0,12.571428571428571,8,0,0,6,0,5.0,0,387,0.0,17.0,False
162,47.0,38.0,0.8085106382978723,11,0,2,9,6,23.0,0,298,4.0,9.0,False
163,14.0,70.0,5.0,6,0,0,8,3,7.0,0,217,9.0,9.0,False
165,7.0,23.0,3.2857142857142856,2,0,0,7,4,3.0,1,186,0.0,14.0,True
167,15.0,56.0,3.733333333333333,5,0,0,2,6,10.0,0,212,3.0,4.0,False
168,22.0,64.0,2.909090909090909,7,0,0,3,5,13.0,1,216,6.0,6.0,False
169,27.0,127.0,4.703703703703703,5,0,2,8,5,18.0,1,217,18.0,24.0,False
170,41.0,71.0,1.7317073170731707,8,0,3,4,3,25.0,1,273,5.0,0.0,False
172,10.0,21.0,2.1,2,0,1,3,5,6.0,1,236,2.0,2.0,False
173,35.0,41.0,1.1714285714285717,3,0,1,3,4,19.0,0,305,5.0,4.0,False
175,24.0,94.0,3.9166666666666665,5,0,0,5,5,12.0,0,201,7.0,7.0,False
176,11.0,38.0,3.4545454545454546,12,0,3,6,3,7.0,1,235,7.0,6.0,False
177,31.0,72.0,2.3225806451612905,5,0,3,2,6,26.0,0,200,11.0,0.0,False
180,8.0,41.0,5.125,7,1,3,7,1,5.0,1,326,8.0,5.0,False
181,46.0,51.0,1.108695652173913,4,0,1,3,3,29.0,0,326,6.0,1.0,False
182,22.0,94.0,4.2727272727272725,7,0,1,5,6,12.0,1,218,11.0,9.0,False
184,35.0,0.0,0.0,8,0,0,6,6,0.0,1,157,0.0,0.0,False
187,54.0,33.0,0.6111111111111112,8,0,0,2,4,26.0,0,478,5.0,1.0,False
189,13.0,44.0,3.3846153846153846,4,0,0,1,2,9.0,0,273,4.0,3.0,False
190,9.0,55.0,6.111111111111111,3,0,1,8,2,4.0,0,198,0.0,32.0,True
191,43.0,81.0,1.8837209302325584,9,0,0,1,3,23.0,0,399,4.0,1.0,False
192,53.0,96.0,1.8113207547169807,5,0,0,2,4,30.0,0,197,7.0,3.0,False
193,31.0,39.0,1.2580645161290325,3,0,1,7,13,6.0,1,60,0.0,20.0,True
194,20.0,96.0,4.8,7,0,0,2,5,12.0,1,113,6.0,8.0,False
195,6.0,14.0,2.333333333333333,11,1,3,6,3,4.0,1,344,1.0,3.0,False
197,11.0,41.0,3.727272727272727,11,0,0,1,3,8.0,0,358,5.0,0.0,False
202,44.0,45.0,1.0227272727272727,9,0,3,8,5,23.0,0,175,7.0,7.0,False
205,11.0,8.0,0.7272727272727273,3,1,0,8,5,1.0,1,109,0.0,5.0,True
206,22.0,151.0,6.863636363636363,14,0,4,5,5,15.0,0,225,3.0,26.0,False
208,38.0,37.0,0.9736842105263158,10,0,0,5,6,26.0,1,325,1.0,7.0,False
209,5.0,72.0,14.4,7,0,1,3,3,3.0,1,164,4.0,7.0,False
210,12.0,51.0,4.25,4,0,2,7,9,3.0,1,80,0.0,33.0,True
211,40.0,4.0,0.1,7,0,1,1,4,2.0,0,260,1.0,0.0,False
213,61.0,70.0,1.147540983606557,4,0,0,1,7,41.0,0,185,10.0,2.0,False
216,8.0,104.0,13.0,10,0,0,8,2,5.0,0,394,25.0,12.0,False
217,19.0,77.0,4.052631578947368,2,0,1,4,5,13.0,0,156,4.0,5.0,False
219,27.0,125.0,4.62962962962963,12,0,3,6,6,16.0,1,364,2.0,17.0,False
220,6.0,24.0,4.0,5,0,2,4,1,4.0,1,311,2.0,2.0,False
223,45.0,117.0,2.6,3,0,0,2,3,29.0,1,290,16.0,2.0,False
224,51.0,66.0,1.2941176470588236,3,1,1,2,2,35.0,1,349,5.0,1.0,False
226,10.0,101.0,10.1,13,0,0,0,0,8.0,1,421,16.0,3.0,False
227,46.0,51.0,1.108695652173913,9,0,4,4,2,31.0,1,336,4.0,3.0,False
228,25.0,83.0,3.32,13,0,0,7,5,13.0,0,256,12.0,20.0,False
230,10.0,1.0,0.1,2,0,1,2,4,1.0,0,176,0.0,0.0,False
231,50.0,119.0,2.38,9,0,3,1,5,45.0,0,209,14.0,1.0,False
232,10.0,31.0,3.1,7,0,0,8,2,7.0,0,317,0.0,7.0,False
234,31.0,19.0,0.6129032258064516,5,0,2,5,7,12.0,1,176,0.0,2.0,False
235,19.0,83.0,4.368421052631579,2,0,0,3,6,10.0,0,276,8.0,7.0,False
236,18.0,123.0,6.833333333333333,11,0,3,9,3,12.0,2,239,28.0,30.0,False
237,14.0,41.0,2.9285714285714284,9,0,0,3,1,8.0,2,305,6.0,1.0,False
239,5.0,99.0,19.8,14,0,0,5,1,3.0,1,309,9.0,18.0,False
240,31.0,33.0,1.064516129032258,11,0,3,6,7,18.0,0,170,7.0,5.0,False
243,17.0,25.0,1.4705882352941178,3,1,1,3,1,11.0,2,337,3.0,1.0,False
244,49.0,1.0,0.0204081632653061,7,0,0,0,0,1.0,0,287,0.0,0.0,False
245,46.0,38.0,0.8260869565217391,10,0,0,3,2,24.0,0,390,3.0,1.0,False
247,48.0,87.0,1.8125,15,0,4,2,6,40.0,1,478,15.0,3.0,False
249,34.0,54.0,1.588235294117647,5,0,2,1,4,20.0,1,151,8.0,3.0,False
251,12.0,39.0,3.25,10,0,3,5,3,8.0,0,161,0.0,7.0,False
252,25.0,8.0,0.32,9,0,1,2,4,7.0,0,342,1.0,0.0,False
255,10.0,69.0,6.9,2,0,1,5,4,7.0,1,165,7.0,7.0,False
256,5.0,99.0,19.8,8,0,5,1,0,3.0,1,374,11.0,3.0,False
257,47.0,15.0,0.3191489361702128,5,2,0,8,9,8.0,0,282,1.0,3.0,False
260,41.0,57.0,1.3902439024390243,3,0,1,3,4,26.0,1,211,6.0,0.0,False
261,48.0,34.0,0.7083333333333334,7,0,1,2,4,23.0,0,155,3.0,2.0,False
266,35.0,32.0,0.9142857142857144,14,0,0,8,4,21.0,0,291,5.0,8.0,False
268,10.0,9.0,0.9,4,0,0,7,4,2.0,0,197,0.0,5.0,True
269,3.0,6.0,2.0,2,0,2,0,1,0.0,1,151,0.0,4.0,True
271,19.0,71.0,3.736842105263158,3,0,0,8,10,3.0,0,163,1.0,37.0,True
272,54.0,3.0,0.0555555555555555,9,0,0,6,4,2.0,1,196,0.0,0.0,False
273,6.0,59.0,9.833333333333334,6,0,0,3,3,4.0,1,205,6.0,5.0,False
274,17.0,74.0,4.352941176470588,10,0,6,0,0,12.0,0,348,11.0,3.0,False
275,17.0,46.0,2.7058823529411766,6,0,2,3,6,11.0,0,214,4.0,4.0,False
276,34.0,41.0,1.2058823529411764,11,0,0,5,5,22.0,0,158,7.0,5.0,False
277,2.0,25.0,12.5,12,0,0,0,0,1.0,0,251,5.0,3.0,False
279,50.0,123.0,2.46,17,0,0,1,4,39.0,0,470,18.0,2.0,False
282,23.0,68.0,2.9565217391304346,3,0,0,4,6,12.0,1,134,6.0,5.0,False
284,11.0,90.0,8.181818181818182,5,0,0,2,4,6.0,0,149,6.0,8.0,False
286,38.0,100.0,2.631578947368421,3,0,0,3,4,24.0,1,262,6.0,10.0,False
287,3.0,36.0,12.0,10,0,0,0,0,2.0,0,333,8.0,5.0,False
288,57.0,17.0,0.2982456140350877,11,0,2,4,6,9.0,0,376,2.0,0.0,False
289,9.0,63.0,7.0,6,0,1,3,5,5.0,1,201,5.0,5.0,False
290,8.0,8.0,1.0,4,0,3,2,0,5.0,0,321,1.0,0.0,False
291,14.0,1.0,0.0714285714285714,9,0,1,2,1,1.0,0,314,0.0,0.0,False
292,5.0,119.0,23.8,11,0,0,5,1,3.0,0,175,14.0,28.0,False
294,13.0,76.0,5.846153846153846,5,0,0,4,0,8.0,1,370,5.0,3.0,False
295,11.0,14.0,1.2727272727272727,13,0,0,5,3,7.0,1,234,0.0,2.0,False
296,28.0,6.0,0.2142857142857142,9,0,2,1,4,5.0,0,277,1.0,0.0,False
297,36.0,23.0,0.6388888888888888,12,0,4,9,7,12.0,1,236,1.0,3.0,False
299,23.0,3.0,0.1304347826086956,5,0,2,7,5,2.0,1,363,1.0,0.0,False
300,5.0,117.0,23.4,14,0,3,1,3,4.0,0,313,17.0,9.0,False
301,14.0,21.0,1.5,13,0,1,9,3,9.0,1,348,2.0,5.0,False
302,4.0,59.0,14.75,1,0,1,1,3,2.0,1,166,7.0,5.0,False
303,41.0,46.0,1.1219512195121952,3,0,1,4,4,23.0,1,352,3.0,2.0,False
306,36.0,3.0,0.0833333333333333,3,0,1,5,3,2.0,0,237,0.0,0.0,False
307,16.0,93.0,5.8125,6,0,2,3,5,9.0,0,257,11.0,8.0,False
308,9.0,73.0,8.11111111111111,2,0,0,8,5,3.0,0,187,1.0,37.0,True
310,46.0,107.0,2.3260869565217392,14,0,2,0,0,33.0,1,416,19.0,6.0,False
311,42.0,46.0,1.0952380952380951,3,0,0,7,12,14.0,1,100,0.0,30.0,True
312,5.0,38.0,7.6,3,2,1,0,2,1.0,2,142,0.0,24.0,True
313,6.0,1.0,0.1666666666666666,5,0,1,4,1,1.0,1,210,0.0,0.0,False
314,25.0,132.0,5.28,7,0,0,5,5,13.0,1,239,7.0,11.0,False
315,36.0,81.0,2.25,6,2,0,7,4,22.0,2,382,2.0,12.0,False
316,43.0,93.0,2.1627906976744184,4,0,0,2,2,26.0,0,247,7.0,12.0,False
319,22.0,11.0,0.5,5,0,0,2,3,9.0,0,471,2.0,0.0,False
321,22.0,39.0,1.7727272727272727,8,0,0,2,1,15.0,1,297,6.0,1.0,False
322,52.0,114.0,2.1923076923076925,7,0,1,3,3,28.0,1,206,10.0,0.0,False
323,2.0,33.0,16.5,0,0,0,0,0,0.0,1,126,0.0,21.0,True
324,11.0,107.0,9.727272727272728,13,0,0,6,2,7.0,1,159,27.0,20.0,False
326,31.0,52.0,1.6774193548387095,6,0,1,1,5,25.0,0,405,5.0,0.0,False
328,48.0,74.0,1.5416666666666667,2,0,1,5,4,30.0,0,205,8.0,6.0,False
331,33.0,54.0,1.6363636363636365,11,0,0,1,5,23.0,1,285,7.0,1.0,False
332,17.0,23.0,1.3529411764705883,7,0,1,4,5,9.0,1,181,2.0,2.0,False
333,17.0,24.0,1.411764705882353,13,0,2,7,3,11.0,1,242,0.0,5.0,False
334,32.0,39.0,1.21875,7,0,1,7,5,20.0,1,229,2.0,6.0,False
335,24.0,5.0,0.2083333333333333,4,0,0,3,6,3.0,2,108,1.0,0.0,False
336,13.0,83.0,6.384615384615385,9,0,0,7,3,7.0,1,198,0.0,17.0,False
337,12.0,22.0,1.8333333333333333,5,0,0,9,2,7.0,0,210,4.0,4.0,False
338,18.0,96.0,5.333333333333333,5,0,0,3,2,10.0,1,163,8.0,6.0,False
341,41.0,118.0,2.8780487804878048,11,0,2,2,6,35.0,0,452,20.0,0.0,False
342,48.0,81.0,1.6875,10,0,0,3,2,32.0,1,252,7.0,1.0,False
344,3.0,33.0,11.0,3,0,1,0,0,2.0,1,350,3.0,2.0,False
346,30.0,31.0,1.0333333333333334,7,0,0,5,6,17.0,1,261,2.0,2.0,False
347,9.0,106.0,11.77777777777778,2,0,1,5,4,5.0,1,280,8.0,8.0,False
348,11.0,48.0,4.363636363636363,6,0,0,2,0,7.0,2,260,7.0,7.0,False
351,24.0,19.0,0.7916666666666666,1,1,1,8,8,1.0,1,118,0.0,13.0,True
353,8.0,47.0,5.875,1,0,1,7,7,0.0,1,99,0.0,30.0,True
354,61.0,4.0,0.0655737704918032,4,0,2,5,5,2.0,2,326,0.0,0.0,False
357,28.0,71.0,2.5357142857142856,8,0,0,1,3,17.0,0,337,6.0,12.0,False
358,1.0,5.0,5.0,14,0,1,0,2,1.0,1,364,0.0,1.0,False
360,5.0,76.0,15.2,5,0,1,5,3,3.0,2,212,12.0,14.0,False
361,10.0,57.0,5.7,4,0,1,8,3,1.0,1,141,0.0,29.0,True
362,15.0,121.0,8.066666666666666,12,0,4,1,2,12.0,0,453,14.0,3.0,False
364,5.0,10.0,2.0,4,0,2,0,2,1.0,0,50,0.0,6.0,True
366,38.0,17.0,0.4473684210526316,4,0,2,3,5,12.0,0,272,1.0,1.0,False
367,52.0,29.0,0.5576923076923077,9,0,0,3,5,26.0,0,288,4.0,3.0,False
368,18.0,74.0,4.111111111111111,6,0,0,3,6,12.0,0,128,7.0,6.0,False
371,16.0,85.0,5.3125,4,1,0,2,5,10.0,1,294,10.0,7.0,False
372,36.0,42.0,1.1666666666666667,9,0,0,8,5,22.0,0,211,3.0,5.0,False
374,17.0,2.0,0.1176470588235294,9,0,0,6,3,1.0,1,165,0.0,0.0,False
375,11.0,8.0,0.7272727272727273,1,1,0,8,8,0.0,0,137,0.0,4.0,True
376,11.0,17.0,1.5454545454545454,4,1,0,9,9,6.0,0,176,0.0,10.0,True
377,13.0,52.0,4.0,9,0,0,1,2,10.0,0,443,6.0,0.0,False
380,31.0,61.0,1.967741935483871,6,0,2,3,7,17.0,0,262,7.0,5.0,False
381,22.0,21.0,0.9545454545454546,3,0,1,1,2,14.0,1,216,2.0,0.0,False
382,25.0,71.0,2.84,6,0,0,1,3,21.0,0,418,13.0,3.0,False
386,23.0,21.0,0.9130434782608696,7,0,0,2,1,11.0,0,336,2.0,1.0,False
387,37.0,80.0,2.1621621621621623,2,0,1,2,3,26.0,1,134,8.0,8.0,False
388,34.0,59.0,1.7352941176470589,6,0,2,4,2,22.0,1,247,4.0,1.0,False
389,41.0,8.0,0.1951219512195122,7,0,0,2,4,6.0,1,391,1.0,0.0,False
390,5.0,101.0,20.2,7,0,1,5,4,3.0,1,267,7.0,9.0,False
391,12.0,103.0,8.583333333333334,11,0,0,5,2,7.0,0,297,9.0,24.0,False
392,11.0,21.0,1.9090909090909087,5,0,1,5,5,8.0,0,257,2.0,2.0,False
393,16.0,54.0,3.375,4,0,0,3,2,11.0,1,233,6.0,8.0,False
395,19.0,58.0,3.0526315789473686,4,0,0,3,5,12.0,0,186,3.0,5.0,False
396,4.0,56.0,14.0,1,0,0,3,1,2.0,0,290,5.0,5.0,False
397,21.0,123.0,5.857142857142857,5,0,1,2,2,11.0,1,217,10.0,7.0,False
399,14.0,9.0,0.6428571428571429,5,0,0,5,3,6.0,0,376,0.0,1.0,False
400,19.0,51.0,2.6842105263157894,1,0,1,10,8,8.0,1,95,0.0,29.0,True
401,4.0,48.0,12.0,0,0,0,0,2,0.0,0,57,0.0,29.0,True
403,41.0,58.0,1.4146341463414631,8,0,3,2,3,27.0,2,242,7.0,4.0,False
404,2.0,17.0,8.5,4,0,1,0,1,0.0,1,189,0.0,9.0,True
407,40.0,95.0,2.375,4,0,0,2,3,23.0,1,354,9.0,0.0,False
408,23.0,7.0,0.3043478260869565,7,0,0,3,5,4.0,1,189,1.0,0.0,False
410,25.0,35.0,1.4,7,0,2,3,7,16.0,1,242,3.0,3.0,False
411,23.0,66.0,2.869565217391304,12,0,0,5,5,12.0,1,387,14.0,10.0,False
412,3.0,8.0,2.6666666666666665,3,0,0,0,1,0.0,2,142,0.0,4.0,True
413,11.0,115.0,10.454545454545457,5,0,0,6,2,6.0,0,302,19.0,26.0,False
414,18.0,39.0,2.1666666666666665,4,0,3,8,8,6.0,1,108,0.0,23.0,True
415,38.0,58.0,1.5263157894736843,2,0,0,3,6,21.0,1,106,4.0,5.0,False
416,42.0,56.0,1.3333333333333333,4,0,0,4,2,25.0,0,263,6.0,3.0,False
417,31.0,100.0,3.225806451612903,14,3,1,1,5,22.0,1,306,19.0,10.0,False
419,5.0,95.0,19.0,6,0,0,2,3,3.0,0,126,9.0,9.0,False
420,33.0,58.0,1.7575757575757576,2,0,1,8,10,12.0,0,103,0.0,34.0,True
421,16.0,69.0,4.3125,13,0,3,7,2,11.0,1,257,0.0,7.0,False
422,60.0,38.0,0.6333333333333333,18,0,7,9,11,27.0,1,386,10.0,9.0,False
424,37.0,82.0,2.216216216216216,9,5,2,2,3,20.0,0,280,7.0,1.0,False
425,37.0,55.0,1.4864864864864864,14,0,3,7,8,21.0,1,365,8.0,10.0,False
426,30.0,57.0,1.9,2,0,0,5,5,19.0,1,114,5.0,4.0,False
427,40.0,16.0,0.4,5,2,0,6,9,11.0,1,361,3.0,2.0,False
430,50.0,14.0,0.28,11,0,2,1,4,11.0,0,287,2.0,0.0,False
431,24.0,65.0,2.708333333333333,14,0,1,7,5,15.0,1,191,0.0,13.0,False
432,12.0,101.0,8.416666666666666,7,0,0,6,2,6.0,1,350,3.0,20.0,False
433,18.0,84.0,4.666666666666667,4,0,1,1,2,10.0,0,303,10.0,1.0,False
434,26.0,108.0,4.153846153846154,14,0,4,2,5,19.0,1,383,17.0,3.0,False
438,31.0,16.0,0.5161290322580645,5,0,1,3,6,9.0,1,160,1.0,1.0,False
