,Количество отправленных сообщений за период,Количество получаемых сообщений за период,Соотношение Полученных/Отправленных,Количество адресатов в отправляемых сообщениях,Количество сообщений с адресатами в поле «скрытая копия»,Количество сообщений с адресатами в поле «копия»,"Количество сообщений, прочитанных позднее времени получения",Среднее время ответа на сообщение.,"Количество сообщений, на которые произведен ответ",Количество дней между датой получения и датой прочтения сообщения,Количество символов текста в исходящих сообщениях,"Количество сообщений, отправленных вне рамок рабочего дня","Количество сообщений, отправленных без подписи",res
24,35.0,71.0,2.0285714285714285,3,0,0,4,2,20.0,0,187,6.0,5.0,False
25,40.0,110.0,2.75,3,0,0,3,2,20.0,1,258,6.0,1.0,False
26,6.0,82.0,13.666666666666666,4,0,0,0,2,0.0,0,115,0.0,55.0,True
27,60.0,116.0,1.9333333333333333,4,0,1,7,5,42.0,1,118,7.0,8.0,False
28,12.0,38.0,3.1666666666666665,5,0,0,3,1,8.0,1,307,2.0,3.0,False
29,52.0,59.0,1.1346153846153846,9,0,2,1,2,32.0,1,226,3.0,0.0,False
30,20.0,102.0,5.1,7,0,1,3,6,12.0,2,272,7.0,10.0,False
31,32.0,122.0,3.8125,5,0,0,3,5,19.0,1,287,9.0,10.0,False
32,30.0,47.0,1.5666666666666667,12,4,1,7,4,18.0,2,367,5.0,8.0,False
33,18.0,139.0,7.722222222222222,5,0,0,6,4,12.0,1,181,32.0,32.0,False
34,5.0,16.0,3.2,5,0,0,4,1,3.0,0,385,2.0,0.0,False
35,6.0,28.0,4.666666666666667,2,0,0,0,2,1.0,1,101,0.0,19.0,True
36,1.0,190.0,190.0,6,0,2,0,0,1.0,1,228,30.0,5.0,False
37,13.0,93.0,7.153846153846154,1,0,0,9,7,0.0,1,59,0.0,64.0,True
38,5.0,68.0,13.6,7,0,0,3,5,3.0,1,176,8.0,7.0,False
39,10.0,31.0,3.1,14,0,1,9,3,6.0,2,382,6.0,6.0,False
40,19.0,10.0,0.5263157894736842,4,0,2,5,5,6.0,1,142,1.0,1.0,False
41,51.0,208.0,4.078431372549019,17,2,4,6,5,29.0,1,193,12.0,38.0,False
42,14.0,113.0,8.071428571428571,1,0,1,10,8,2.0,0,175,0.0,76.0,True
43,21.0,111.0,5.285714285714286,8,0,0,6,4,13.0,2,169,14.0,16.0,False
44,175.0,88.0,0.5028571428571429,60,0,2,3,23,71.0,0,369,15.0,4.0,False
45,14.0,15.0,1.0714285714285714,5,0,0,3,1,9.0,1,372,1.0,0.0,False
46,30.0,73.0,2.433333333333333,6,0,1,4,7,18.0,1,212,6.0,6.0,False
47,19.0,63.0,3.3157894736842106,3,0,0,8,8,4.0,1,111,0.0,32.0,True
48,47.0,53.0,1.127659574468085,10,0,2,1,4,36.0,0,284,7.0,0.0,False
49,25.0,98.0,3.92,14,0,4,9,3,13.0,1,369,25.0,16.0,False
50,15.0,12.0,0.8,7,0,2,8,3,7.0,2,220,1.0,2.0,False
51,16.0,93.0,5.8125,7,0,0,7,2,11.0,1,221,2.0,21.0,False
52,36.0,145.0,4.027777777777778,6,0,0,2,2,24.0,1,234,11.0,2.0,False
53,28.0,82.0,2.9285714285714284,8,0,2,2,3,23.0,0,347,14.0,3.0,False
54,21.0,26.0,1.2380952380952381,9,0,0,6,3,14.0,0,319,0.0,4.0,False
55,10.0,81.0,8.1,6,0,0,9,3,6.0,0,323,4.0,12.0,False
56,143.0,68.0,0.4755244755244755,12,0,3,7,5,34.0,1,252,10.0,2.0,False
57,13.0,77.0,5.923076923076923,9,0,2,2,1,7.0,0,200,8.0,1.0,False
58,5.0,29.0,5.8,9,0,2,5,1,3.0,0,302,1.0,4.0,False
59,40.0,49.0,1.225,2,1,1,8,12,5.0,1,125,0.0,25.0,True
60,24.0,27.0,1.125,11,0,0,0,0,19.0,0,402,5.0,1.0,False
61,34.0,143.0,4.205882352941177,5,2,0,2,2,21.0,1,279,9.0,1.0,False
62,5.0,28.0,5.6,4,1,0,0,2,1.0,1,82,0.0,19.0,True
63,28.0,20.0,0.7142857142857143,3,1,0,2,7,10.0,1,117,2.0,2.0,False
64,16.0,51.0,3.1875,8,0,0,0,0,12.0,0,454,8.0,5.0,False
65,57.0,115.0,2.017543859649123,4,0,0,9,13,4.0,0,176,1.0,75.0,True
66,14.0,0.0,0.0,2,1,1,10,7,0.0,1,161,0.0,0.0,True
67,24.0,73.0,3.0416666666666665,14,0,0,8,4,12.0,0,268,14.0,16.0,False
68,6.0,49.0,8.166666666666666,4,0,0,0,2,1.0,0,194,0.0,25.0,True
69,1.0,117.0,117.0,3,0,1,0,0,1.0,1,263,6.0,11.0,False
70,43.0,198.0,4.604651162790698,5,0,1,0,0,30.0,0,289,25.0,8.0,False
71,5.0,92.0,18.4,6,0,1,5,4,3.0,0,148,6.0,8.0,False
72,31.0,159.0,5.129032258064516,4,2,2,2,1,19.0,1,259,18.0,0.0,False
73,21.0,71.0,3.380952380952381,13,0,0,1,6,18.0,0,342,12.0,6.0,False
74,26.0,47.0,1.8076923076923077,2,0,1,4,7,18.0,0,177,4.0,4.0,False
75,29.0,30.0,1.0344827586206897,3,0,1,3,2,20.0,1,323,4.0,0.0,False
76,12.0,114.0,9.5,3,0,0,8,9,6.0,1,56,0.0,63.0,True
77,33.0,147.0,4.454545454545454,3,0,0,4,1,23.0,2,251,10.0,3.0,False
78,20.0,128.0,6.4,2,0,1,10,8,7.0,0,172,1.0,73.0,True
79,37.0,127.0,3.4324324324324325,13,0,1,8,5,22.0,1,317,20.0,23.0,False
80,19.0,13.0,0.6842105263157895,11,0,0,0,0,9.0,0,477,2.0,0.0,False
81,3.0,62.0,20.666666666666668,5,0,2,1,4,2.0,0,156,5.0,6.0,False
82,11.0,98.0,8.909090909090908,6,0,0,7,3,7.0,2,330,0.0,18.0,False
83,46.0,44.0,0.9565217391304348,7,0,0,4,3,25.0,1,389,4.0,3.0,False
84,35.0,86.0,2.4571428571428573,13,0,6,5,9,24.0,1,164,16.0,19.0,False
85,23.0,109.0,4.739130434782608,7,0,2,0,0,17.0,0,491,19.0,6.0,False
86,13.0,13.0,1.0,4,0,1,10,4,4.0,0,100,0.0,8.0,True
87,6.0,88.0,14.666666666666666,2,0,0,3,4,3.0,0,168,5.0,8.0,False
88,6.0,69.0,11.5,4,0,1,5,5,3.0,0,195,5.0,6.0,False
89,4.0,4.0,1.0,3,0,0,0,2,2.0,1,161,0.0,3.0,True
90,16.0,1.0,0.0625,4,0,2,8,9,0.0,0,189,0.0,1.0,True
91,25.0,60.0,2.4,4,0,2,1,3,17.0,0,225,8.0,0.0,False
92,6.0,57.0,9.5,3,0,1,0,2,1.0,0,71,0.0,33.0,True
93,53.0,39.0,0.7358490566037735,9,0,0,10,7,25.0,0,203,0.0,9.0,False
94,46.0,51.0,1.108695652173913,5,0,2,4,2,23.0,1,346,7.0,6.0,False
95,11.0,114.0,10.363636363636363,4,0,0,2,5,8.0,2,232,10.0,9.0,False
96,52.0,112.0,2.1538461538461537,9,0,0,6,7,30.0,0,344,10.0,25.0,False
97,34.0,17.0,0.5,6,0,0,7,5,10.0,1,363,2.0,4.0,False
98,42.0,58.0,1.380952380952381,8,2,0,1,3,22.0,0,317,5.0,1.0,False
99,114.0,113.0,0.9912280701754386,37,0,0,0,0,90.0,0,304,16.0,1.0,False
100,8.0,11.0,1.375,4,0,0,8,1,0.0,1,171,0.0,6.0,True
101,5.0,21.0,4.2,3,0,1,0,2,1.0,1,67,0.0,11.0,True
102,5.0,84.0,16.8,2,0,0,0,2,1.0,0,138,0.0,57.0,True
103,27.0,33.0,1.2222222222222223,2,0,0,4,7,15.0,1,215,2.0,3.0,False
104,21.0,31.0,1.4761904761904763,5,0,2,7,5,11.0,0,384,2.0,8.0,False
105,7.0,210.0,30.0,5,0,1,3,1,4.0,0,192,20.0,8.0,False
106,1.0,27.0,27.0,13,0,0,0,1,1.0,0,358,5.0,6.0,False
107,9.0,3.0,0.3333333333333333,2,0,1,7,6,0.0,0,70,0.0,2.0,True
108,15.0,108.0,7.2,11,0,1,7,3,9.0,0,211,7.0,15.0,False
109,11.0,52.0,4.7272727272727275,6,0,0,1,2,6.0,0,300,8.0,2.0,False
110,23.0,50.0,2.1739130434782608,2,0,1,2,7,12.0,2,124,5.0,5.0,False
111,5.0,19.0,3.8,4,0,0,0,2,0.0,0,98,0.0,13.0,True
112,74.0,80.0,1.0810810810810811,8,0,1,5,9,45.0,1,288,7.0,7.0,False
113,14.0,62.0,4.428571428571429,2,0,1,3,5,7.0,0,147,7.0,5.0,False
114,30.0,84.0,2.8,8,0,0,8,4,17.0,0,376,12.0,9.0,False
115,57.0,203.0,3.56140350877193,9,0,2,3,6,34.0,1,231,26.0,2.0,False
116,12.0,141.0,11.75,9,0,0,2,2,8.0,1,399,20.0,5.0,False
117,15.0,131.0,8.733333333333333,3,0,0,4,5,10.0,1,166,13.0,11.0,False
118,27.0,129.0,4.777777777777778,9,0,2,2,3,18.0,1,228,15.0,16.0,False
119,32.0,215.0,6.71875,9,0,0,9,6,18.0,2,256,9.0,53.0,False
120,13.0,103.0,7.923076923076923,3,1,0,7,8,6.0,0,52,0.0,62.0,True
121,4.0,57.0,14.25,1,0,0,2,1,3.0,0,169,7.0,5.0,False
122,7.0,78.0,11.142857142857142,3,0,0,4,3,4.0,2,160,9.0,8.0,False
123,12.0,72.0,6.0,13,0,0,2,2,10.0,0,443,10.0,7.0,False
124,88.0,81.0,0.9204545454545454,17,0,0,3,6,59.0,0,336,12.0,4.0,False
125,1.0,193.0,193.0,2,0,0,0,1,0.0,1,120,0.0,125.0,True
126,1.0,105.0,105.0,6,0,0,0,0,1.0,1,218,13.0,9.0,False
127,36.0,119.0,3.3055555555555554,9,0,0,7,6,19.0,0,324,25.0,29.0,False
128,56.0,39.0,0.6964285714285714,16,0,0,3,4,35.0,0,436,4.0,0.0,False
129,31.0,100.0,3.225806451612903,6,0,0,3,5,19.0,0,297,6.0,9.0,False
130,41.0,42.0,1.024390243902439,2,0,1,2,3,23.0,0,295,3.0,4.0,False
132,12.0,28.0,2.3333333333333335,13,0,0,9,3,7.0,0,336,2.0,6.0,False
133,12.0,93.0,7.75,2,0,1,8,9,4.0,1,193,2.0,65.0,True
134,19.0,230.0,12.105263157894736,5,0,0,4,2,11.0,1,305,12.0,25.0,False
135,3.0,126.0,42.0,1,0,0,2,5,2.0,0,247,11.0,11.0,False
136,34.0,225.0,6.617647058823529,10,0,0,0,0,26.0,1,441,23.0,4.0,False
137,4.0,42.0,10.5,1,0,1,0,1,2.0,2,88,0.0,22.0,True
138,15.0,42.0,2.8,6,0,0,2,2,9.0,2,267,4.0,4.0,False
139,41.0,92.0,2.2439024390243905,7,0,2,6,8,25.0,0,169,0.0,14.0,False
140,2.0,61.0,30.5,0,0,0,0,1,0.0,1,121,0.0,40.0,True
141,16.0,69.0,4.3125,3,0,1,9,8,1.0,0,70,0.0,45.0,True
142,6.0,68.0,11.333333333333334,3,0,1,0,2,1.0,0,116,0.0,43.0,True
143,16.0,132.0,8.25,4,0,2,10,9,2.0,2,128,1.0,91.0,True
144,15.0,78.0,5.2,2,0,1,7,8,1.0,1,148,0.0,54.0,True
145,29.0,79.0,2.7241379310344827,8,0,1,9,4,18.0,0,304,0.0,15.0,False
146,101.0,47.0,0.46534653465346537,14,0,0,14,16,25.0,1,168,2.0,10.0,False
147,10.0,78.0,7.8,4,0,0,5,4,5.0,0,221,4.0,7.0,False
148,100.0,112.0,1.12,15,0,0,4,13,74.0,0,208,21.0,4.0,False
149,1.0,30.0,30.0,1,0,0,0,0,1.0,0,115,3.0,2.0,False
150,53.0,5.0,0.09433962264150944,18,0,0,2,8,4.0,0,390,1.0,0.0,False
151,33.0,61.0,1.8484848484848484,14,0,0,1,5,25.0,0,442,11.0,4.0,False
152,11.0,42.0,3.8181818181818183,3,0,0,9,6,2.0,0,139,0.0,27.0,True
153,16.0,65.0,4.0625,12,0,0,7,3,11.0,1,348,8.0,15.0,False
154,3.0,66.0,22.0,4,0,0,1,4,2.0,1,299,7.0,7.0,False
155,31.0,46.0,1.4838709677419355,6,0,0,1,5,22.0,0,414,8.0,1.0,False
156,24.0,193.0,8.041666666666666,6,0,0,2,6,16.0,1,278,22.0,14.0,False
157,31.0,57.0,1.8387096774193548,4,1,2,10,10,12.0,0,137,0.0,39.0,True
158,7.0,88.0,12.571428571428571,8,0,0,6,0,5.0,0,387,0.0,17.0,False
159,66.0,120.0,1.8181818181818181,9,0,0,2,5,47.0,0,200,24.0,4.0,False
160,98.0,84.0,0.8571428571428571,31,0,0,4,13,61.0,0,241,14.0,3.0,False
161,8.0,173.0,21.625,3,0,0,4,3,5.0,1,120,16.0,12.0,False
162,16.0,135.0,8.4375,2,0,1,9,8,3.0,0,72,2.0,94.0,True
163,3.0,83.0,27.666666666666668,0,0,0,0,2,2.0,1,156,0.0,50.0,True
164,47.0,38.0,0.8085106382978723,11,0,2,9,6,23.0,0,298,4.0,9.0,False
165,14.0,70.0,5.0,6,0,0,8,3,7.0,0,217,9.0,9.0,False
166,93.0,70.0,0.7526881720430108,14,0,0,1,7,62.0,0,442,12.0,1.0,False
167,7.0,23.0,3.2857142857142856,2,0,0,7,4,3.0,1,186,0.0,14.0,True
168,17.0,94.0,5.529411764705882,1,0,1,7,9,4.0,1,193,1.0,62.0,True
169,15.0,56.0,3.7333333333333334,5,0,0,2,6,10.0,0,212,3.0,4.0,False
170,22.0,64.0,2.909090909090909,7,0,0,3,5,13.0,1,216,6.0,6.0,False
171,27.0,127.0,4.703703703703703,5,0,2,8,5,18.0,1,217,18.0,24.0,False
172,41.0,71.0,1.7317073170731707,8,0,3,4,3,25.0,1,273,5.0,0.0,False
173,8.0,79.0,9.875,4,0,0,7,4,4.0,1,118,1.0,50.0,True
174,10.0,21.0,2.1,2,0,1,3,5,6.0,1,236,2.0,2.0,False
175,35.0,41.0,1.1714285714285715,3,0,1,3,4,19.0,0,305,5.0,4.0,False
176,25.0,128.0,5.12,3,0,0,8,9,0.0,0,104,0.0,84.0,True
177,24.0,94.0,3.9166666666666665,5,0,0,5,5,12.0,0,201,7.0,7.0,False
178,11.0,38.0,3.4545454545454546,12,0,3,6,3,7.0,1,235,7.0,6.0,False
179,31.0,72.0,2.3225806451612905,5,0,3,2,6,26.0,0,200,11.0,0.0,False
180,71.0,75.0,1.056338028169014,12,0,5,1,7,43.0,1,303,8.0,4.0,False
181,91.0,68.0,0.7472527472527473,20,0,0,3,7,51.0,0,347,10.0,3.0,False
182,8.0,41.0,5.125,7,1,3,7,1,5.0,1,326,8.0,5.0,False
183,46.0,51.0,1.108695652173913,4,0,1,3,3,29.0,0,326,6.0,1.0,False
184,22.0,94.0,4.2727272727272725,7,0,1,5,6,12.0,1,218,11.0,9.0,False
185,7.0,98.0,14.0,2,1,1,7,6,1.0,1,185,0.0,57.0,True
186,35.0,0.0,0.0,8,0,0,6,6,0.0,1,157,0.0,0.0,False
187,1.0,32.0,32.0,7,2,2,0,0,1.0,0,165,2.0,8.0,False
188,68.0,205.0,3.014705882352941,20,0,0,3,8,48.0,0,216,35.0,6.0,False
189,54.0,33.0,0.6111111111111112,8,0,0,2,4,26.0,0,478,5.0,1.0,False
190,1.0,30.0,30.0,7,0,3,0,2,1.0,1,222,3.0,4.0,False
191,13.0,44.0,3.3846153846153846,4,0,0,1,2,9.0,0,273,4.0,3.0,False
192,9.0,55.0,6.111111111111111,3,0,1,8,2,4.0,0,198,0.0,32.0,True
193,43.0,81.0,1.8837209302325582,9,0,0,1,3,23.0,0,399,4.0,1.0,False
194,53.0,96.0,1.8113207547169812,5,0,0,2,4,30.0,0,197,7.0,3.0,False
195,31.0,39.0,1.2580645161290323,3,0,1,7,13,6.0,1,60,0.0,20.0,True
196,20.0,96.0,4.8,7,0,0,2,5,12.0,1,113,6.0,8.0,False
197,6.0,14.0,2.3333333333333335,11,1,3,6,3,4.0,1,344,1.0,3.0,False
198,141.0,45.0,0.3191489361702128,31,0,3,4,19,40.0,1,392,7.0,0.0,False
199,11.0,41.0,3.727272727272727,11,0,0,1,3,8.0,0,358,5.0,0.0,False
200,80.0,71.0,0.8875,16,0,0,2,7,51.0,0,439,8.0,2.0,False
201,63.0,124.0,1.9682539682539681,19,0,2,1,5,44.0,0,235,14.0,9.0,False
202,64.0,95.0,1.484375,8,0,3,5,5,44.0,0,277,10.0,9.0,False
203,91.0,93.0,1.021978021978022,12,0,2,4,5,60.0,1,214,5.0,5.0,False
204,44.0,45.0,1.0227272727272727,9,0,3,8,5,23.0,0,175,7.0,7.0,False
205,11.0,135.0,12.272727272727273,3,0,1,7,6,1.0,1,131,0.0,86.0,True
206,6.0,113.0,18.833333333333332,4,0,0,0,2,0.0,0,110,0.0,67.0,True
207,11.0,8.0,0.7272727272727273,3,1,0,8,5,1.0,1,109,0.0,5.0,True
208,22.0,151.0,6.863636363636363,14,0,4,5,5,15.0,0,225,3.0,26.0,False
209,5.0,101.0,20.2,4,1,0,0,2,1.0,1,79,1.0,56.0,True
210,38.0,37.0,0.9736842105263158,10,0,0,5,6,26.0,1,325,1.0,7.0,False
211,5.0,72.0,14.4,7,0,1,3,3,3.0,1,164,4.0,7.0,False
212,12.0,51.0,4.25,4,0,2,7,9,3.0,1,80,0.0,33.0,True
213,40.0,4.0,0.1,7,0,1,1,4,2.0,0,260,1.0,0.0,False
215,3.0,96.0,32.0,7,0,0,0,2,2.0,0,257,13.0,22.0,False
216,61.0,70.0,1.1475409836065573,4,0,0,1,7,41.0,0,185,10.0,2.0,False
217,95.0,188.0,1.9789473684210526,13,0,0,6,5,65.0,0,151,15.0,11.0,False
218,23.0,62.0,2.6956521739130435,3,0,0,7,10,1.0,1,197,0.0,38.0,True
219,8.0,104.0,13.0,10,0,0,8,2,5.0,0,394,25.0,12.0,False
220,19.0,77.0,4.052631578947368,2,0,1,4,5,13.0,0,156,4.0,5.0,False
221,10.0,230.0,23.0,1,0,1,8,7,6.0,0,150,0.0,141.0,True
222,27.0,125.0,4.62962962962963,12,0,3,6,6,16.0,1,364,2.0,17.0,False
223,6.0,24.0,4.0,5,0,2,4,1,4.0,1,311,2.0,2.0,False
224,3.0,100.0,33.333333333333336,3,0,1,0,0,2.0,1,262,14.0,12.0,False
225,85.0,61.0,0.7176470588235294,23,0,0,2,10,45.0,0,458,12.0,0.0,False
227,45.0,117.0,2.6,3,0,0,2,3,29.0,1,290,16.0,2.0,False
228,51.0,66.0,1.2941176470588236,3,1,1,2,2,35.0,1,349,5.0,1.0,False
229,82.0,204.0,2.4878048780487805,23,0,0,1,7,73.0,0,409,22.0,13.0,False
230,10.0,101.0,10.1,13,0,0,0,0,8.0,1,421,16.0,3.0,False
232,46.0,51.0,1.108695652173913,9,0,4,4,2,31.0,1,336,4.0,3.0,False
233,25.0,83.0,3.32,13,0,0,7,5,13.0,0,256,12.0,20.0,False
234,8.0,246.0,30.75,7,0,2,4,3,5.0,0,108,26.0,23.0,False
235,10.0,1.0,0.1,2,0,1,2,4,1.0,0,176,0.0,0.0,False
236,50.0,119.0,2.38,9,0,3,1,5,45.0,0,209,14.0,1.0,False
237,10.0,31.0,3.1,7,0,0,8,2,7.0,0,317,0.0,7.0,False
238,13.0,87.0,6.6923076923076925,2,0,0,9,7,1.0,1,70,0.0,47.0,True
239,31.0,19.0,0.6129032258064516,5,0,2,5,7,12.0,1,176,0.0,2.0,False
240,19.0,83.0,4.368421052631579,2,0,0,3,6,10.0,0,276,8.0,7.0,False
242,18.0,123.0,6.833333333333333,11,0,3,9,3,12.0,2,239,28.0,30.0,False
243,14.0,41.0,2.9285714285714284,9,0,0,3,1,8.0,2,305,6.0,1.0,False
244,99.0,16.0,0.16161616161616163,13,0,4,7,9,8.0,0,177,2.0,0.0,False
245,5.0,99.0,19.8,14,0,0,5,1,3.0,1,309,9.0,18.0,False
246,31.0,33.0,1.064516129032258,11,0,3,6,7,18.0,0,170,7.0,5.0,False
247,2.0,78.0,39.0,0,0,0,0,0,1.0,1,120,6.0,6.0,False
248,137.0,54.0,0.39416058394160586,32,0,5,1,17,43.0,0,461,9.0,3.0,False
249,17.0,25.0,1.4705882352941178,3,1,1,3,1,11.0,2,337,3.0,1.0,False
250,49.0,1.0,0.02040816326530612,7,0,0,0,0,1.0,0,287,0.0,0.0,False
251,46.0,38.0,0.8260869565217391,10,0,0,3,2,24.0,0,390,3.0,1.0,False
252,67.0,79.0,1.1791044776119404,15,0,0,9,6,37.0,0,375,8.0,19.0,False
253,48.0,87.0,1.8125,15,0,4,2,6,40.0,1,478,15.0,3.0,False
254,2.0,115.0,57.5,2,0,0,0,0,2.0,0,345,19.0,8.0,False
255,34.0,54.0,1.588235294117647,5,0,2,1,4,20.0,1,151,8.0,3.0,False
256,14.0,199.0,14.214285714285714,13,0,1,5,3,9.0,1,350,41.0,24.0,False
257,12.0,39.0,3.25,10,0,3,5,3,8.0,0,161,0.0,7.0,False
258,25.0,8.0,0.32,9,0,1,2,4,7.0,0,342,1.0,0.0,False
259,35.0,224.0,6.4,3,0,2,4,4,18.0,0,168,19.0,19.0,False
260,14.0,132.0,9.428571428571429,4,0,1,10,8,2.0,1,144,2.0,83.0,True
262,10.0,69.0,6.9,2,0,1,5,4,7.0,1,165,7.0,7.0,False
263,5.0,99.0,19.8,8,0,5,1,0,3.0,1,374,11.0,3.0,False
264,47.0,15.0,0.3191489361702128,5,2,0,8,9,8.0,0,282,1.0,3.0,False
265,13.0,110.0,8.461538461538462,1,0,0,7,9,0.0,1,141,2.0,62.0,True
266,22.0,97.0,4.409090909090909,4,0,2,8,10,2.0,0,170,0.0,57.0,True
267,41.0,57.0,1.3902439024390243,3,0,1,3,4,26.0,1,211,6.0,0.0,False
268,48.0,34.0,0.7083333333333334,7,0,1,2,4,23.0,0,155,3.0,2.0,False
269,139.0,142.0,1.0215827338129497,49,0,0,6,17,112.0,0,431,23.0,12.0,False
270,7.0,116.0,16.571428571428573,1,0,0,7,7,4.0,0,135,0.0,77.0,True
271,2.0,221.0,110.5,1,0,1,0,1,0.0,0,191,0.0,136.0,True
272,2.0,100.0,50.0,8,0,1,0,2,1.0,2,371,17.0,24.0,False
273,35.0,32.0,0.9142857142857143,14,0,0,8,4,21.0,0,291,5.0,8.0,False
274,82.0,64.0,0.7804878048780488,11,0,0,9,5,34.0,0,183,4.0,5.0,False
275,10.0,9.0,0.9,4,0,0,7,4,2.0,0,197,0.0,5.0,True
276,3.0,6.0,2.0,2,0,2,0,1,0.0,1,151,0.0,4.0,True
277,120.0,17.0,0.14166666666666666,43,0,5,16,15,12.0,1,193,3.0,3.0,False
278,19.0,71.0,3.736842105263158,3,0,0,8,10,3.0,0,163,1.0,37.0,True
279,54.0,3.0,0.05555555555555555,9,0,0,6,4,2.0,1,196,0.0,0.0,False
280,6.0,59.0,9.833333333333334,6,0,0,3,3,4.0,1,205,6.0,5.0,False
281,17.0,74.0,4.352941176470588,10,0,6,0,0,12.0,0,348,11.0,3.0,False
282,17.0,46.0,2.7058823529411766,6,0,2,3,6,11.0,0,214,4.0,4.0,False
283,34.0,41.0,1.2058823529411764,11,0,0,5,5,22.0,0,158,7.0,5.0,False
284,2.0,25.0,12.5,12,0,0,0,0,1.0,0,251,5.0,3.0,False
285,63.0,39.0,0.6190476190476191,18,0,0,0,0,33.0,0,210,5.0,1.0,False
286,50.0,123.0,2.46,17,0,0,1,4,39.0,0,470,18.0,2.0,False
287,2.0,95.0,47.5,0,0,0,0,0,0.0,1,157,2.0,56.0,True
288,3.0,92.0,30.666666666666668,3,0,0,0,0,2.0,1,327,7.0,9.0,False
289,23.0,68.0,2.9565217391304346,3,0,0,4,6,12.0,1,134,6.0,5.0,False
290,16.0,103.0,6.4375,3,1,1,9,8,7.0,0,153,0.0,57.0,True
291,11.0,90.0,8.181818181818182,5,0,0,2,4,6.0,0,149,6.0,8.0,False
292,3.0,110.0,36.666666666666664,0,0,0,0,2,0.0,2,144,0.0,59.0,True
294,38.0,100.0,2.6315789473684212,3,0,0,3,4,24.0,1,262,6.0,10.0,False
295,3.0,36.0,12.0,10,0,0,0,0,2.0,0,333,8.0,5.0,False
296,57.0,17.0,0.2982456140350877,11,0,2,4,6,9.0,0,376,2.0,0.0,False
297,9.0,63.0,7.0,6,0,1,3,5,5.0,1,201,5.0,5.0,False
298,8.0,8.0,1.0,4,0,3,2,0,5.0,0,321,1.0,0.0,False
299,14.0,1.0,0.07142857142857142,9,0,1,2,1,1.0,0,314,0.0,0.0,False
300,5.0,119.0,23.8,11,0,0,5,1,3.0,0,175,14.0,28.0,False
301,4.0,120.0,30.0,9,0,0,0,0,2.0,0,263,16.0,13.0,False
302,13.0,76.0,5.846153846153846,5,0,0,4,0,8.0,1,370,5.0,3.0,False
303,11.0,14.0,1.2727272727272727,13,0,0,5,3,7.0,1,234,0.0,2.0,False
304,28.0,6.0,0.21428571428571427,9,0,2,1,4,5.0,0,277,1.0,0.0,False
305,36.0,23.0,0.6388888888888888,12,0,4,9,7,12.0,1,236,1.0,3.0,False
306,55.0,195.0,3.5454545454545454,10,0,2,5,4,34.0,0,166,27.0,0.0,False
307,23.0,3.0,0.13043478260869565,5,0,2,7,5,2.0,1,363,1.0,0.0,False
308,5.0,117.0,23.4,14,0,3,1,3,4.0,0,313,17.0,9.0,False
